Date,Close
10/20/2016,29.02
10/21/2016,29.06
10/24/2016,29.22
10/25/2016,29.05
10/26/2016,28.82
10/27/2016,28.81
10/28/2016,28.6
10/31/2016,28.51
11/1/2016,28.38
11/2/2016,28.26
11/3/2016,28.06
11/4/2016,27.95
11/7/2016,28.24
11/8/2016,28.03
11/9/2016,28.29
11/10/2016,28.16
11/11/2016,28.64
11/14/2016,27.89
11/15/2016,28.49
11/16/2016,28.33
11/17/2016,28.87
11/18/2016,28.69
11/21/2016,29
11/22/2016,29.06
11/23/2016,28.9
11/25/2016,28.95
11/28/2016,28.57
11/29/2016,28.51
11/30/2016,27.81
12/1/2016,27.39
12/2/2016,28.42
12/5/2016,28.35
12/6/2016,28.21
12/7/2016,28.91
12/8/2016,29.42
12/9/2016,29.97
12/12/2016,30.21
12/13/2016,29.82
12/14/2016,29.82
12/15/2016,29.73
12/16/2016,29.61
12/19/2016,29.38
12/20/2016,29.26
12/21/2016,29.36
12/22/2016,29.54
12/23/2016,29.79
12/27/2016,30.24
12/28/2016,30.01
12/29/2016,29.98
12/30/2016,29.69
1/3/2017,29.84
1/4/2017,29.76
1/5/2017,30.01
1/6/2017,31.05
1/9/2017,30.75
1/10/2017,30.25
1/11/2017,30.41
1/12/2017,30.35
1/13/2017,30.29
1/17/2017,30.29
1/18/2017,30.39
1/19/2017,30.72
1/20/2017,30.64
1/23/2017,30.27
1/24/2017,29.99
1/25/2017,30.23
1/26/2017,31.74
1/27/2017,32.51
1/30/2017,32.17
1/31/2017,31.83
2/1/2017,32.18
2/2/2017,31.97
2/3/2017,32.07
2/6/2017,32.03
2/7/2017,32.43
2/8/2017,33.25
2/9/2017,33.12
2/10/2017,33.63
2/13/2017,33.79
2/14/2017,33.63
2/15/2017,34.01
2/16/2017,33.54
2/17/2017,33.76
2/21/2017,33.92
2/22/2017,33.82
2/23/2017,33.6
2/24/2017,34.06
2/27/2017,34.28
2/28/2017,33.9
3/1/2017,34.27
3/2/2017,33.91
3/3/2017,33.74
3/6/2017,33.64
3/7/2017,33.47
3/8/2017,33.32
3/9/2017,33.18
3/10/2017,33.13
3/13/2017,32.81
3/14/2017,32.86
3/15/2017,32.89
3/16/2017,33.1
3/17/2017,33.7
3/20/2017,33.81
3/21/2017,33.19
3/22/2017,33.53
3/23/2017,33.52
3/24/2017,33.4
3/27/2017,33.43
3/28/2017,33.53
3/29/2017,33.65
3/30/2017,33.7
3/31/2017,33.57
4/3/2017,33.76
4/4/2017,34.14
4/5/2017,33.81
4/6/2017,34.16
4/7/2017,33.91
4/10/2017,34.06
4/11/2017,33.99
4/12/2017,34.27
4/13/2017,34.33
4/17/2017,34.44
4/18/2017,34.02
4/19/2017,33.85
4/20/2017,32.53
4/21/2017,32.18
4/24/2017,32.05
4/25/2017,32.81
4/26/2017,33.01
4/27/2017,33.06
4/28/2017,33.41
5/1/2017,33.31
5/2/2017,33.51
5/3/2017,33.26
5/4/2017,33.51
5/5/2017,33.5
5/8/2017,33.24
5/9/2017,33.72
5/10/2017,33.88
5/11/2017,34.12
5/12/2017,34.07
5/15/2017,34.18
5/16/2017,34.81
5/17/2017,33.58
5/18/2017,33.73
5/19/2017,33.83
5/22/2017,33.86
5/23/2017,34.61
5/24/2017,34.82
5/25/2017,35.22
5/26/2017,34.9
5/30/2017,34.62
5/31/2017,34.3
6/1/2017,34.79
6/2/2017,35.32
6/5/2017,35.55
6/6/2017,35.47
6/7/2017,35.77
6/8/2017,36.14
6/9/2017,34.94
6/12/2017,34.15
6/13/2017,34.46
6/14/2017,34.5
6/15/2017,34.09
6/16/2017,33.96
6/19/2017,34.9
6/20/2017,34.93
6/21/2017,34.96
6/22/2017,35.12
6/23/2017,35.57
6/26/2017,35.09
6/27/2017,34.91
6/28/2017,35.31
6/29/2017,34.51
6/30/2017,34.92
7/3/2017,34.6
7/5/2017,34.72
7/6/2017,34.03
7/7/2017,34.23
7/10/2017,35.04
7/11/2017,35.19
7/12/2017,36.03
7/13/2017,36.5
7/14/2017,37.08
7/17/2017,37.05
7/18/2017,36.8
7/19/2017,37.08
7/20/2017,37.18
7/21/2017,36.61
7/24/2017,36.38
7/25/2017,36.32
7/26/2017,37.04
7/27/2017,36.17
7/28/2017,35.94
7/31/2017,35.73
8/1/2017,35.91
8/2/2017,35.9
8/3/2017,35.71
8/4/2017,35.62
8/7/2017,36.11
8/8/2017,36.36
8/9/2017,36.08
8/10/2017,34.99
8/11/2017,35.05
8/14/2017,35.2
8/15/2017,35.25
8/16/2017,35.36
8/17/2017,34.85
8/18/2017,34.78
8/21/2017,34.24
8/22/2017,34.81
8/23/2017,34.89
8/24/2017,34.88
8/25/2017,34.68
8/28/2017,34.81
8/29/2017,35.2
8/30/2017,35.69
8/31/2017,36.13
9/1/2017,36.35
9/5/2017,36.09
9/6/2017,36.76
9/7/2017,38.01
9/8/2017,37.79
9/11/2017,38.09
9/12/2017,38.18
9/13/2017,38.27
9/14/2017,38.31
9/15/2017,38.4
9/18/2017,38.39
9/19/2017,38.59
9/20/2017,38.54
9/21/2017,38.25
9/22/2017,38.29
9/25/2017,37.78
9/26/2017,37.85
9/27/2017,38.05
9/28/2017,37.73
9/29/2017,38.46
10/2/2017,38.73
10/3/2017,38.71
10/4/2017,38.66
10/5/2017,38.99
10/6/2017,38.81
10/9/2017,38.99
10/10/2017,38.84
10/11/2017,38.31
10/12/2017,38.09
10/13/2017,38.35
10/16/2017,37.77
10/17/2017,37.49
10/18/2017,37.97
10/19/2017,37.29
10/20/2017,37.61
10/23/2017,36.83
10/24/2017,36.74
10/25/2017,36.68
10/26/2017,36.9
10/27/2017,36.8
10/30/2017,37
10/31/2017,37.64
11/1/2017,37.54
11/2/2017,37.4
11/3/2017,37.5
11/6/2017,37.37
11/7/2017,37.41
11/8/2017,37.01
11/9/2017,35.69
11/10/2017,35.97
11/13/2017,35.85
11/14/2017,35.22
11/15/2017,35.3
11/16/2017,35.62
11/17/2017,35.58
11/20/2017,35.53
11/21/2017,35.96
11/22/2017,35.94
11/24/2017,35.84
11/27/2017,35.99
11/28/2017,35.5
11/29/2017,34.38
11/30/2017,34.67
12/1/2017,35.2
12/4/2017,35.7
12/5/2017,36.81
12/6/2017,36.83
12/7/2017,36.85
12/8/2017,37.65
12/11/2017,37.52
12/12/2017,37.44
12/13/2017,37.4
12/14/2017,37.6
12/15/2017,38.37
12/18/2017,38.18
12/19/2017,37.8
12/20/2017,37.93
12/21/2017,37.81
12/22/2017,37.76
12/26/2017,37.94
12/27/2017,37.61
12/28/2017,37.92
12/29/2017,37.74
1/2/2018,38.06
1/3/2018,39.22
1/4/2018,38.57
1/5/2018,39.69
1/8/2018,39.8
1/9/2018,39.53
1/10/2018,37.7
1/11/2018,37.81
1/12/2018,38.02
1/16/2018,37.68
1/17/2018,37.99
1/18/2018,38.74
1/19/2018,38.43
1/22/2018,39.58
1/23/2018,39.77
1/24/2018,39.82
1/25/2018,40.02
1/26/2018,40.89
1/29/2018,40.8
1/30/2018,40.4
1/31/2018,40.58
2/1/2018,46.19
2/2/2018,44.3
2/5/2018,42.37
2/6/2018,42.79
2/7/2018,42.33
2/8/2018,41.02
2/9/2018,41.66
2/12/2018,42.32
2/13/2018,42.15
2/14/2018,42.44
2/15/2018,43.01
2/16/2018,43.34
2/20/2018,43.39
2/21/2018,43.12
2/22/2018,42.83
2/23/2018,43.68
2/26/2018,43.83
2/27/2018,43.15
2/28/2018,42.86
3/1/2018,42.27
3/2/2018,42.95
3/5/2018,43.19
3/6/2018,43.14
3/7/2018,43.93
3/8/2018,43.68
3/9/2018,43.81
3/12/2018,43.9
3/13/2018,42.82
3/14/2018,42.83
3/15/2018,42.59
3/16/2018,42.46
3/19/2018,42.09
3/20/2018,41.96
3/21/2018,41.67
3/22/2018,40.58
3/23/2018,39.71
3/26/2018,41.01
3/27/2018,40.22
3/28/2018,40.11
3/29/2018,40.24
4/2/2018,39.36
4/3/2018,39.61
4/4/2018,39.79
4/5/2018,40.03
4/6/2018,39.09
4/9/2018,38.88
4/10/2018,39.59
4/11/2018,39.83
4/12/2018,40.53
4/13/2018,39.9
4/16/2018,40.19
4/17/2018,40.61
4/18/2018,41.75
4/19/2018,42.11
4/20/2018,42.2
4/23/2018,41.6
4/24/2018,41.18
4/25/2018,40.97
4/26/2018,38.68
4/27/2018,38.23
4/30/2018,37.88
5/1/2018,37.83
5/2/2018,37.18
5/3/2018,37.64
5/4/2018,38
5/7/2018,37.8
5/8/2018,38.1
5/9/2018,38.23
5/10/2018,38.5
5/11/2018,38.26
5/14/2018,38.39
5/15/2018,38.08
5/16/2018,38.35
5/17/2018,38.4
5/18/2018,38.4
5/21/2018,38.29
5/22/2018,37.77
5/23/2018,38.04
5/24/2018,37.79
5/25/2018,37.94
5/29/2018,37.53
5/30/2018,37.85
5/31/2018,37.72
6/1/2018,38.34
